,date,venue_name,latitude,longitude,wdir,temp,maxt,visibility,wspd,cloudcover,mint,precip,snowdepth,dew,humidity,precipcover
3099,2018-05-23,Tropicana Field,27.7680559,-82.65327550461797,160.54,26.0,31.7,9.7,13.5,19.8,22.2,0.0,0.0,22.1,81.0,0.0
3100,2018-05-23,Wrigley Field,41.9481225,-87.6563513145702,94.5,18.5,25.6,8.5,9.4,39.7,11.4,0.0,0.0,11.1,66.06,0.0
3101,2018-05-23,Dodger Stadium,34.074552350000005,-118.24004805779221,242.58,16.8,20.0,9.9,8.6,71.3,15.0,0.0,0.0,12.3,74.86,0.0
3102,2018-05-23,Target Field,44.9817039,-93.2778457595517,151.88,21.9,28.0,9.6,11.7,41.3,15.9,0.0,0.0,15.2,67.72,0.0
3103,2018-05-23,Busch Stadium,38.62255379999999,-90.19392193458769,52.38,24.5,30.5,9.9,10.9,6.4,18.4,0.0,0.0,17.3,65.54,0.0
3104,2018-05-23,Citi Field,40.75727785,-73.84587884942417,262.42,20.8,27.7,7.8,14.2,71.2,14.4,5.62,0.0,13.2,66.35,16.67
3105,2018-05-23,Globe Life Park in Arlington,32.7513904,-97.08347649984135,136.83,26.6,31.9,9.8,9.8,14.3,20.1,0.0,0.0,19.2,66.16,0.0
3106,2018-05-23,Great American Ball Park,39.09724845,-84.50662325533993,117.13,21.1,26.2,9.1,10.6,20.1,15.8,0.0,0.0,15.9,74.88,0.0
3107,2018-05-23,Nationals Park,38.87274095,-77.00838588569519,290.04,23.8,28.2,9.7,20.5,71.7,19.9,0.0,0.0,16.4,66.4,0.0
3108,2018-05-23,Oakland Coliseum,37.75167500000001,-122.19937132239198,255.71,13.7,16.2,8.5,17.1,95.3,12.3,0.0,0.0,10.5,81.73,0.0
3109,2018-05-23,Minute Maid Park,29.75723205,-95.35523391491142,79.38,24.5,27.3,9.9,11.8,63.8,21.7,3.23,0.0,22.6,89.21,16.67
3110,2018-05-24,Rogers Centre,43.6416641,-79.38919882366382,230.96,18.7,26.2,67.0,10.3,3.5,12.6,0.0,0.0,9.2,55.92,0.0
3111,2018-05-24,Guaranteed Rate Field,41.8300162,-87.63256264837347,116.96,22.9,29.8,9.9,12.3,35.6,14.7,0.0,0.0,12.5,54.8,0.0
3112,2018-05-24,Tropicana Field,27.7680559,-82.65327550461797,144.33,26.9,32.8,9.5,10.1,53.5,24.3,26.94,0.0,22.7,78.88,12.5
3113,2018-05-24,Progressive Field,41.4960144,-81.68420022215649,158.58,18.8,22.3,9.8,6.9,0.8,13.3,0.0,0.0,11.8,64.9,0.0
